STLNUM,NRESULT,NNAME,TIME
용산구12-1891,noise,children_playing,2020-01-21 20:25
강남구203-243,siren,siren,2020-01-21 21:02
중구323-62,noise,children_playing,2020-01-21 21:28
용산구12-1891,noise,children_playing,2020-01-21 22:33
용산구12-1891,etc,car_horn,2020-01-21 23:45
강남구203-243,etc,dog_bark,2020-01-21 23:46
중구323-62,noise,children_playing,2020-01-21 23:55
중구323-62,noise,children_playing,2020-01-22 0:02
중구323-62,etc,street_music,2020-01-22 0:05
중구323-62,noise,children_playing,2020-01-22 0:10
용산구12-1891,0,dog_bark,time
용산구12-1891,etc,dog_bark,time
용산구12-1891,etc,dog_bark,Tue Jan 21 10:39:59 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
용산구12-1891,noise,children_playing,Tue Jan 21 11:37:39 2020
